commit_uid,repo_id,commit_hash,commit_url,label_satd,label_human,rationale_human,lines_added,lines_deleted,files_changed,hunks,label_llm,confidence_llm,rationale_llm
keras#975713c645b5907d3952864f89c85e8711376e0c,keras,975713c645b5907d3952864f89c85e8711376e0c,https://github.com/keras-team/keras/commit/975713c645b5907d3952864f89c85e8711376e0c,1,1,Weakened tests (re: parameter propagation),174,11,2,10,yes,0.93,"Introduces explicit TODO noting unresolved torch parameter propagation; tests also encode known incorrect behavior, indicating admitted temporary workaround."
keras#35b2aa910391b253f062e9bef766fd7be3304668,keras,35b2aa910391b253f062e9bef766fd7be3304668,https://github.com/keras-team/keras/commit/35b2aa910391b253f062e9bef766fd7be3304668,1,0,"Clean commit, the SATD keyword (TODO) describes a future design consideration",31,0,2,7,no,0.96,"Adds output_shape support and corresponding tests; no visible duplication, weakening, magic numbers, or temporary workaround introduced."
keras#3db16c668cbe2200d1764ede7420857c8bb7669d,keras,3db16c668cbe2200d1764ede7420857c8bb7669d,https://github.com/keras-team/keras/commit/3db16c668cbe2200d1764ede7420857c8bb7669d,1,1,"Stubbed methods, duplicate code",165,73,11,30,yes,0.93,"Introduces deferred variable initialization, adds thread-local tracking and stateless-scope cleanup, plus a new test stub with pass and explicit optimizer limitation comment."
requests#802bcc9ba3f21f65d5eab48588b930222845ce23,requests,802bcc9ba3f21f65d5eab48588b930222845ce23,https://github.com/psf/requests/commit/802bcc9ba3f21f65d5eab48588b930222845ce23,0,1,Commented-out code / imports,36,16,4,16,no,0.93,"Visible changes are mostly refactoring/renaming and API wiring; no clear new shortcut, duplication, or removed safeguard is directly shown."
keras#ff0db1c03fa1308603896a72da8f7b22f2a2d7ac,keras,ff0db1c03fa1308603896a72da8f7b22f2a2d7ac,https://github.com/keras-team/keras/commit/ff0db1c03fa1308603896a72da8f7b22f2a2d7ac,1,1,"Stubbed/pseudo methods, commented-out code",2073,4312,53,110,yes,0.97,Introduces explicit dead/commented-out code and a stray debug print; also replaces validation helper with ad hoc tuple handling across multiple layers.
requests#3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,requests,3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,https://github.com/psf/requests/commit/3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,1,0,"Minimal change, one TODO comment added but regarding already existing code",6,6,1,7,yes,0.97,"Introduces a TODO-marked workaround and hard-coded port change, both explicit shortcuts in the diff."
scrapy#c07937c4df23567adde10ca39b12d85c53847ca6,scrapy,c07937c4df23567adde10ca39b12d85c53847ca6,https://github.com/scrapy/scrapy/commit/c07937c4df23567adde10ca39b12d85c53847ca6,1,0,"Minimal change, one FIXME comment added but regarding already existing code",2,1,1,2,no,0.98,"Only a FIXME comment and a cached return value were added; no new shortcut, duplication, or weakened safeguard is directly introduced."
requests#9576518d69b819b25cd036397d2624daa6ae088c,requests,9576518d69b819b25cd036397d2624daa6ae088c,https://github.com/psf/requests/commit/9576518d69b819b25cd036397d2624daa6ae088c,1,0,"Library added, no new TD authored",2851,5,13,14,yes,0.97,Large new oauthlib codebase adds substantial duplicated OAuth logic across modules and multiple TODO/FIXME comments indicating incomplete implementation.
keras#4a978914d2298db2c79baa4012af5ceff4a4e203,keras,4a978914d2298db2c79baa4012af5ceff4a4e203,https://github.com/keras-team/keras/commit/4a978914d2298db2c79baa4012af5ceff4a4e203,0,0,"Clean refactoring, old code and TD removed",707,582,30,117,yes,0.93,"Introduces duplicated test/layer utility code across files and adds a TODO workaround comment plus multiple new validation branches, increasing maintenance burden."
keras#0b393d4049afd187ed7d24ea70177a72cf4a3ce2,keras,0b393d4049afd187ed7d24ea70177a72cf4a3ce2,https://github.com/keras-team/keras/commit/0b393d4049afd187ed7d24ea70177a72cf4a3ce2,0,1,"Incomplete case handling (unbound weights_format), re-raising of exceptions",135,54,1,35,yes,0.93,"Introduces duplicated storage abstractions and added branching for h5/npz plus zip/non-zip paths, increasing local complexity and coupling."
scrapy#d75b61b96aad172e21c7d3aeba6f48419a63c72d,scrapy,d75b61b96aad172e21c7d3aeba6f48419a63c72d,https://github.com/scrapy/scrapy/commit/d75b61b96aad172e21c7d3aeba6f48419a63c72d,0,0,Minimal change,6,0,1,1,no,0.98,"Test-only addition; no visible shortcut, duplication, weakened safeguard, or complexity increase in the diff."
keras#05812f0e2d1fe8f190a2ad1e843e975c660354ae,keras,05812f0e2d1fe8f190a2ad1e843e975c660354ae,https://github.com/keras-team/keras/commit/05812f0e2d1fe8f190a2ad1e843e975c660354ae,1,0,"Clean addition, removed obsolete code",320,1055,11,11,no,0.93,"Visible changes add a new BatchNormalization layer and remove optimizer files; no clear shortcut, duplication, or safeguard weakening is directly shown."
keras#d85036c431ca124bb3161be4a9123b83a5744c21,keras,d85036c431ca124bb3161be4a9123b83a5744c21,https://github.com/keras-team/keras/commit/d85036c431ca124bb3161be4a9123b83a5744c21,0,0,Minimal change,4,6,3,6,no,0.93,"Visible changes add an export/import and simplify summary behavior; no clear duplication, unsafe removal, or other technical debt is directly shown."
scrapy#314bbabb30dc70298e59c2979ec0a9311ece5baa,scrapy,314bbabb30dc70298e59c2979ec0a9311ece5baa,https://github.com/scrapy/scrapy/commit/314bbabb30dc70298e59c2979ec0a9311ece5baa,0,0,Minimal change,1,6,2,3,no,0.97,"Removes request.domain handling and simplifies spider lookup; no visible shortcut, duplication, or safeguard removal introduced."
requests#f40bd0f7074ccda6be66c77f39442770d7669af0,requests,f40bd0f7074ccda6be66c77f39442770d7669af0,https://github.com/psf/requests/commit/f40bd0f7074ccda6be66c77f39442770d7669af0,0,0,Only docstrings changed,6,6,3,3,no,0.99,"Documentation-only reference link updates across three files; no visible complexity, duplication, safeguard removal, or temporary workaround."
scrapy#f2c2609e42408a7c47a1bf44d8993f21da606213,scrapy,f2c2609e42408a7c47a1bf44d8993f21da606213,https://github.com/scrapy/scrapy/commit/f2c2609e42408a7c47a1bf44d8993f21da606213,1,0,Minimal change,8,0,2,2,no,0.97,"Adds a targeted encoding conversion and matching test; no visible duplication, weakening safeguards, or other technical debt in the diff."
fastapi#b85b2e39425c9d37d614ce89c056ed77bad7af6d,fastapi,b85b2e39425c9d37d614ce89c056ed77bad7af6d,https://github.com/fastapi/fastapi/commit/b85b2e39425c9d37d614ce89c056ed77bad7af6d,1,0,Clean implementation,103,8,2,6,no,0.93,"Adds encoder support and a regression test; no clear duplication, weakened safeguards, or explicit temporary workaround introduced in the diff."
keras#292b0d50e6fac01067998b8783d632c23ab33c7a,keras,292b0d50e6fac01067998b8783d632c23ab33c7a,https://github.com/keras-team/keras/commit/292b0d50e6fac01067998b8783d632c23ab33c7a,1,1,Empty stubs,213,86,5,26,yes,0.93,"Introduces duplicated class-weight handling in two adapters and adds a TODO-marked broadcast workaround, increasing local complexity and coupling."
keras#2481069ed4e43ce19c60e66fb5276450031aef56,keras,2481069ed4e43ce19c60e66fb5276450031aef56,https://github.com/keras-team/keras/commit/2481069ed4e43ce19c60e66fb5276450031aef56,1,1,"Hidden dependencies circumventing the abstractions (NumPy backend depends on JAX), empty stubs",2089,14,104,239,yes,0.95,"Introduces a temporary workaround comment for NumPy backend import redirection and a pass-based stop_gradient stub, both visible shortcuts."
keras#b6b19cc28c1184f71efc4b630a8749a6aabcfabd,keras,b6b19cc28c1184f71efc4b630a8749a6aabcfabd,https://github.com/keras-team/keras/commit/b6b19cc28c1184f71efc4b630a8749a6aabcfabd,1,1,Code duplicates,1245,1,3,5,yes,0.97,"New 1230-line module adds duplicated block definitions, repeated model wrappers, and hard-coded weight URLs/hashes, increasing maintenance burden."
keras#81db804d3147a846b056db73fd02bc78cad8cde6,keras,81db804d3147a846b056db73fd02bc78cad8cde6,https://github.com/keras-team/keras/commit/81db804d3147a846b056db73fd02bc78cad8cde6,0,0,Clean change,50,3,2,3,yes,0.86,Adds a new test with an explicit TODO skip workaround and changes validation error text; the workaround introduces temporary debt.
keras#a127de7007fe49413bd9167e179f5df12b6c100e,keras,a127de7007fe49413bd9167e179f5df12b6c100e,https://github.com/keras-team/keras/commit/a127de7007fe49413bd9167e179f5df12b6c100e,1,1,"Deferred tests, dead code",94,61,1,12,yes,0.95,Introduces a new helper with duplicated validation logic and added complexity; also adds a TODO comment indicating incomplete integration.
fastapi#55035f440bf852f739e3ccd71b67034016ae9bba,fastapi,55035f440bf852f739e3ccd71b67034016ae9bba,https://github.com/fastapi/fastapi/commit/55035f440bf852f739e3ccd71b67034016ae9bba,1,0,Clean feature addition,2698,27,65,77,yes,0.93,"Added duplicated tutorial variants and broadened parameter handling with extra branching and helper logic across multiple files, increasing local complexity and coupling."
requests#e8d02ea0bbc05042e618a7ca115f4fca7b2deeb9,requests,e8d02ea0bbc05042e618a7ca115f4fca7b2deeb9,https://github.com/psf/requests/commit/e8d02ea0bbc05042e618a7ca115f4fca7b2deeb9,0,0,Clean change,9,1,2,2,no,0.98,"Adds a type check and a corresponding test; no visible duplication, complexity increase, weakened safeguards, or temporary workaround."
requests#d181577f3e34ac4bda2458f7b28405a5ed034d87,requests,d181577f3e34ac4bda2458f7b28405a5ed034d87,https://github.com/psf/requests/commit/d181577f3e34ac4bda2458f7b28405a5ed034d87,1,1,Magic number 0x20000 instead of constant,147,27,6,31,yes,0.91,Introduces duplicated proxy TCP_NODELAY logic in two connection pool methods and adds hard-coded magic value OP_NO_COMPRESSION.
keras#027f0776814de831341f9bcff3e9212e57713346,keras,027f0776814de831341f9bcff3e9212e57713346,https://github.com/keras-team/keras/commit/027f0776814de831341f9bcff3e9212e57713346,1,0,Targeted bug fix,12,7,1,1,no,0.93,"Single-method refactor replaces prior serialization hook; no clear added complexity, duplication, weakened safeguard, or explicit temporary workaround introduced."
