commit_uid,commit_url,label_human_a,label_human_b,label_llm,label_gt,humans_agree,rationale_human_a,rationale_human_b,rationale_llm
scrapy#a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,https://github.com/scrapy/scrapy/commit/a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,0,0,0,0,1,"Moved code, enhanced structure",no indication,"Refactor extracts existing markup-cleaning logic into shared utility; no visible added complexity, duplication, weakened safeguards, or temporary workaround."
scrapy#c07937c4df23567adde10ca39b12d85c53847ca6,https://github.com/scrapy/scrapy/commit/c07937c4df23567adde10ca39b12d85c53847ca6,0,1,0,,0,"Minimal change, one FIXME comment added but regarding already existing code","FIXME in comment, SATD","Only a FIXME comment and a cached return value were added; no new shortcut, duplication, or weakened safeguard is directly introduced."
scrapy#c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,https://github.com/scrapy/scrapy/commit/c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,0,0,0,0,1,Cleanly implemented rewrite/upgrade,Self-contained feature additions with no visible shortcuts,"Mostly refactor/unification and file moves; no clear added duplication, weakened safeguards, or explicit temporary workaround visible."
scrapy#d0a81d369f2066239930aa4ab4f6d093807c2780,https://github.com/scrapy/scrapy/commit/d0a81d369f2066239930aa4ab4f6d093807c2780,0,1,1,,0,"Only tests, no complexity increase / shortcuts","FIXME comment, SATD","Introduces commented-out production test path and explicit temporary workaround/disabled test via FIXME and SkipTest, a visible shortcut."
scrapy#d75b61b96aad172e21c7d3aeba6f48419a63c72d,https://github.com/scrapy/scrapy/commit/d75b61b96aad172e21c7d3aeba6f48419a63c72d,0,0,0,0,1,Minimal change,no indication,"Test-only addition; no visible shortcut, duplication, weakened safeguard, or complexity increase in the diff."
scrapy#d8af395d7654ba659aa29060cf3cf0ed3dfe1174,https://github.com/scrapy/scrapy/commit/d8af395d7654ba659aa29060cf3cf0ed3dfe1174,1,0,0,,0,Stubbed error handling,no indication,"Large feature addition, but no directly visible shortcut, duplication, or safeguard removal in the shown Python diff."
scrapy#eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,https://github.com/scrapy/scrapy/commit/eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,1,1,1,1,1,"Debug prints, high complexity due to nesting in try/catch blocks, duplicate logic","TODO in comment, SATD","Introduces mixed boto/botocore branching, added debug print, and duplicated signing paths in one function, increasing local complexity and maintenance burden."
scrapy#f2c2609e42408a7c47a1bf44d8993f21da606213,https://github.com/scrapy/scrapy/commit/f2c2609e42408a7c47a1bf44d8993f21da606213,0,0,0,0,1,Minimal change,no indication,"Adds a targeted encoding conversion and matching test; no visible duplication, weakening safeguards, or other technical debt in the diff."
scrapy#f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,https://github.com/scrapy/scrapy/commit/f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,1,0,0,,0,Defined / documented parameters (define_from) with no implementation,no indication,"Visible refactor introduces a pipeline abstraction and moves extraction logic, but no clear shortcut, duplication, weakened safeguard, or concrete debt is directly shown."
scrapy#fa58ab21e4670db1b11b6097d809cd18dd2ca667,https://github.com/scrapy/scrapy/commit/fa58ab21e4670db1b11b6097d809cd18dd2ca667,0,0,0,0,1,Removed obsolete code,no indication,"Removes a helper and uses inspect.getfullargspec directly; no visible shortcut, duplication, or weakened safeguard in the diff."
